module,strategy_label,source,strategy,model,feature_set,top_n,cost_rate,total_return,annual_return,benchmark_annual_return,excess_annual_return,information_ratio,max_drawdown,monthly_win_rate_vs_benchmark,avg_traded_notional,avg_cost
财务增强-原始口径,财务增强 Ridge（原始口径） Top100,finance_enhanced,,ridge_finance,raw_fin,100,0.001,-0.0995607857695294,-0.0532461531427995,-0.0512265015307952,-0.0021286973289862,-0.1329065147125476,-0.2666289059592248,0.4347826086956521,0.6480488676206048,0.0006480488676206
行业中性化,行业中性 Ridge Top100,industry_neutral,ridge_industry_neutral,,,100,0.001,-0.102946523861469,-0.0551051578707056,-0.0512265015307952,-0.0040880740726512,-0.148904445939648,-0.2745962813347287,0.4347826086956521,1.056004573375967,0.0010560045733759
财务增强-行业中性,财务增强 Ridge（行业中性） Top100,finance_enhanced,,ridge_finance,ind_neu_fin,100,0.001,-0.105286957655881,-0.0563921803563017,-0.0512265015307952,-0.0054445859141735,-0.121450974082795,-0.2916681324724053,0.4347826086956521,0.97394563586815,0.0009739456358681
原始口径,原始 Ridge Top100,robustness_original,ridge,,,100,0.001,-0.1132800570687327,-0.0607998322552562,-0.0512265015307952,-0.0100902172540727,-0.264841699716537,-0.279381915813358,0.3478260869565217,0.7171676086220417,0.0007171676086219
原始口径,原始 LightGBM Top100,robustness_original,lightgbm,,,100,0.001,-0.1540149910568082,-0.0835637465082462,-0.0512265015307952,-0.0340832085103826,-0.8161234357033436,-0.3134374077094199,0.4347826086956521,1.2513433648304433,0.0012513433648303
原始口径,原始低波动单因子 Top50,robustness_original,single_low_vol,,,50,0.0015,0.184996440543111,0.0925996759885632,-0.0512265015307952,0.1515916894300002,1.025913825306559,-0.1267356751462571,0.6521739130434783,1.1838149873372148,0.0017757224810057
行业中性化,行业中性低波动单因子 Top50,industry_neutral,single_low_vol_ind_neu,,,50,0.0015,0.1174921128505146,0.0596709436075741,-0.0512265015307952,0.1168850577269458,1.0305606315539535,-0.1466425192358347,0.6086956521739131,1.285904505746232,0.0019288567586192
原始口径,原始低换手单因子 Top50,robustness_original,single_low_turnover,,,50,0.0015,0.0557964716357799,0.0287331062284279,-0.0512265015307952,0.0842768141060368,0.5752216916380509,-0.1652111014502344,0.5652173913043478,0.577646049694674,0.0008664690745419
原始口径,原始 BP 价值单因子 Top50,robustness_original,single_bp,,,50,0.0015,0.0358187983488305,0.0185307626142865,-0.0512265015307952,0.0735236220843345,0.4666956936651009,-0.228987964573649,0.5652173913043478,0.2193592815155241,0.0003290389222732
行业中性化,行业中性 BP 价值单因子 Top50,industry_neutral,single_bp_ind_neu,,,50,0.0015,0.0282424709518094,0.0146370472251473,-0.0512265015307952,0.0694196758891452,1.0315321306961975,-0.2626900733013423,0.6521739130434783,0.3219508321639382,0.0004829262482458
行业中性化,行业中性低换手单因子 Top50,industry_neutral,single_low_turnover_ind_neu,,,50,0.0015,-0.0312942230610535,-0.0164515268410696,-0.0512265015307952,0.0366525569546716,0.3922243735820085,-0.19639077952293,0.6086956521739131,0.8358422706766793,0.0012537634060149
财务增强-原始口径,财务增强 LightGBM（原始口径） Top50,finance_enhanced,,lightgbm_finance,raw_fin,50,0.0015,-0.0772119819628779,-0.0410580448952213,-0.0512265015307952,0.0107174754058583,0.2340846387939618,-0.2844019333328889,0.4782608695652174,1.2915237048012946,0.0019372855572019
财务增强-行业中性,财务增强 LightGBM（行业中性） Top50,finance_enhanced,,lightgbm_finance,ind_neu_fin,50,0.0015,-0.1058076384060934,-0.0566787255614701,-0.0512265015307952,-0.0057466023655505,-0.0787674279497334,-0.3140213134707814,0.4347826086956521,1.3642046914209758,0.0020463070371314
行业中性化,行业中性 LightGBM Top50,industry_neutral,lightgbm_industry_neutral,,,50,0.0015,-0.120046663183586,-0.0645460305910402,-0.0512265015307952,-0.0140386816049724,-0.1478167342227042,-0.309138664980315,0.4347826086956521,1.5835689002926543,0.0023753533504389
财务增强-原始口径,财务增强 Ridge（原始口径） Top50,finance_enhanced,,ridge_finance,raw_fin,50,0.0015,-0.1224686496592586,-0.0658902620127287,-0.0512265015307952,-0.0154554912269289,-0.2496462059596466,-0.2998544271608027,0.4782608695652174,0.8013149352498121,0.0012019724028747
行业中性化,行业中性 Ridge Top50,industry_neutral,ridge_industry_neutral,,,50,0.0015,-0.1382145691897456,-0.0746730576883224,-0.0512265015307952,-0.024712490594812,-0.3997489573817108,-0.3014653785904775,0.391304347826087,1.2871651324257982,0.0019307476986386
财务增强-行业中性,财务增强 Ridge（行业中性） Top50,finance_enhanced,,ridge_finance,ind_neu_fin,50,0.0015,-0.1444587728515574,-0.0781771945167982,-0.0512265015307952,-0.0284058239711443,-0.4304636314079974,-0.3271633663246238,0.391304347826087,1.1481030349608552,0.0017221545524412
原始口径,原始 Ridge Top50,robustness_original,ridge,,,50,0.0015,-0.1674643780805859,-0.0911943067080032,-0.0512265015307952,-0.0421257605125922,-0.597497327752148,-0.3267595122401729,0.3478260869565217,0.8958895190809,0.0013438342786213
原始口径,原始 LightGBM Top50,robustness_original,lightgbm,,,50,0.0015,-0.2110440762560422,-0.116333508774219,-0.0512265015307952,-0.0686222869298841,-1.4340853400025886,-0.3614025192476515,0.4347826086956521,1.4705062988189783,0.0022057594482284
原始口径,原始低波动单因子 Top100,robustness_original,single_low_vol,,,100,0.0015,0.1251224534452266,0.0634398606247186,-0.0512265015307952,0.1208574673939797,1.006443662137472,-0.1510653991897456,0.6086956521739131,0.989786018356682,0.0014846790275349
原始口径,原始 BP 价值单因子 Top100,robustness_original,single_bp,,,100,0.0015,0.1065621426062315,0.0542507045300819,-0.0512265015307952,0.1111721672570524,0.898056005563877,-0.1697770382651585,0.6086956521739131,0.2377516777191016,0.0003566275165786
行业中性化,行业中性 BP 价值单因子 Top100,industry_neutral,single_bp_ind_neu,,,100,0.0015,0.0620918363734654,0.0319289014964336,-0.0512265015307952,0.0876451578394588,1.4171949508691046,-0.2240214792027883,0.6086956521739131,0.2785632819575588,0.0004178449229362
原始口径,原始低换手单因子 Top100,robustness_original,single_low_turnover,,,100,0.0015,0.0342594718054733,0.0177304912583942,-0.0512265015307952,0.0726801422051184,0.5541600536902364,-0.1820446822101735,0.5652173913043478,0.5131658602384771,0.0007697487903576
行业中性化,行业中性低波动单因子 Top100,industry_neutral,single_low_vol_ind_neu,,,100,0.0015,0.0248439773276347,0.0128859965257246,-0.0512265015307952,0.0675740818645989,0.7318110088916423,-0.1971970390974285,0.6956521739130435,1.0927107305090145,0.0016390660957634
财务增强-行业中性,财务增强 LightGBM（行业中性） Top100,finance_enhanced,,lightgbm_finance,ind_neu_fin,100,0.0015,-0.0685339401925207,-0.036363513158844,-0.0512265015307952,0.0156654758969678,0.396457400568899,-0.2813448064562992,0.391304347826087,1.124290158566572,0.0016864352378498
行业中性化,行业中性低换手单因子 Top100,industry_neutral,single_low_turnover_ind_neu,,,100,0.0015,-0.0696672959359999,-0.0369754298231636,-0.0512265015307952,0.0150205204199158,0.1006165912693232,-0.2313072392233777,0.5652173913043478,0.6564903262892617,0.0009847354894338
财务增强-原始口径,财务增强 LightGBM（原始口径） Top100,finance_enhanced,,lightgbm_finance,raw_fin,100,0.0015,-0.0884588353980257,-0.0471737476097081,-0.0512265015307952,0.0042715715896639,0.0798996981683196,-0.2724817637634729,0.5217391304347826,1.030835762781466,0.0015462536441721
财务增强-原始口径,财务增强 Ridge（原始口径） Top100,finance_enhanced,,ridge_finance,raw_fin,100,0.0015,-0.1062953448015382,-0.056947196442892,-0.0512265015307952,-0.006029568618144,-0.1905366549500879,-0.2709363713438486,0.4347826086956521,0.6480488676206048,0.0009720733014309
